time,distance,speed
0.0,0.0,0.0
0.008335113525390625,0.17999999225139618,0.0
0.016666412353515625,0.28999999165534973,13.331000328063965
0.02500152587890625,0.5099999904632568,26.55099868774414
0.033336639404296875,0.8399999737739563,39.650997161865234
0.041667938232421875,1.2799999713897705,52.64099884033203
0.0500030517578125,1.8299999237060547,65.52099609375
0.0583343505859375,2.4800000190734863,78.29100036621094
0.06666946411132812,3.240000009536743,90.95099639892578
0.07500076293945312,4.099999904632568,103.5009994506836
0.08333587646484375,5.069999694824219,115.94099426269531
0.09166717529296875,6.139999866485596,128.281005859375
0.10000228881835938,7.309999942779541,140.51100158691406
0.10833358764648438,8.579999923706055,152.64100646972656
0.116668701171875,9.949999809265137,164.6610107421875
0.125,11.420000076293945,176.5810089111328
0.13333511352539062,12.989999771118164,188.4010009765625
0.14166641235351562,14.65999984741211,200.1110076904297
0.15000152587890625,16.420000076293945,211.72100830078125
0.15833663940429688,18.279998779296875,223.2310028076172
0.16666793823242188,20.239999771118164,234.6510009765625
0.1750030517578125,22.28999900817871,245.97100830078125
0.1833343505859375,24.43000030517578,257.1910095214844
0.19166946411132812,26.670000076293945,268.3210144042969
0.20000076293945312,29.0,279.35101318359375
0.20833587646484375,31.420000076293945,290.291015625
0.21666717529296875,33.93000030517578,301.1310119628906
0.22500228881835938,36.529998779296875,311.8810119628906
0.23333358764648438,39.21999740600586,322.5409851074219
0.241668701171875,42.0,333.10101318359375
0.25,44.86000061035156,343.5710144042969
0.2583351135253906,47.80999755859375,353.95098876953125
0.2666664123535156,50.849998474121094,364.2510070800781
0.27500152587890625,53.96999740600586,374.46099853515625
0.2833366394042969,57.16999816894531,384.58099365234375
0.2916679382324219,60.459999084472656,394.6109924316406
0.3000030517578125,63.82999801635742,404.5610046386719
0.3083343505859375,67.27999877929688,414.4209899902344
0.3166694641113281,70.81999969482422,424.20098876953125
0.3250007629394531,74.43999481201172,433.8909912109375
0.33333587646484375,78.13999938964844,443.5010070800781
0.34166717529296875,81.91999816894531,453.031005859375
0.3500022888183594,85.7699966430664,462.4809875488281
0.3583335876464844,89.69999694824219,471.8509826660156
0.366668701171875,93.70999908447266,481.1409912109375
0.375,97.79999542236328,490.3509826660156
0.3833351135253906,101.95999908447266,499.4809875488281
0.3916664123535156,106.19999694824219,508.531005859375
0.40000152587890625,110.50999450683594,517.5009765625
0.4083366394042969,114.89999389648438,526.3909912109375
0.4166679382324219,119.36000061035156,535.2109375
0.4250030517578125,123.88999938964844,543.9509887695312
0.4333343505859375,128.5,552.6209716796875
0.4416694641113281,133.17999267578125,561.2109375
0.4500007629394531,137.92999267578125,569.73095703125
0.45833587646484375,142.75,578.1809692382812
0.46666717529296875,147.63999938964844,586.5509643554688
0.4750022888183594,152.59999084472656,594.8509521484375
0.4833335876464844,157.62998962402344,603.0809326171875
0.491668701171875,162.72000122070312,611.240966796875
0.5,167.87998962402344,619.3309326171875
0.5083351135253906,173.11000061035156,627.3509521484375
0.5166664123535156,178.39999389648438,635.3009643554688
0.5250015258789062,183.75999450683594,643.1809692382812
0.5333366394042969,189.19000244140625,651.0009765625
0.5416679382324219,194.67999267578125,658.7509765625
0.5500030517578125,200.22999572753906,666.4309692382812
0.5583343505859375,205.84999084472656,674.0509643554688
0.5666694641113281,211.52999877929688,681.6009521484375
0.5750007629394531,217.26998901367188,689.0909423828125
0.5833358764648438,223.0699920654297,696.510986328125
0.5916671752929688,228.94000244140625,703.8709716796875
0.6000022888183594,234.8699951171875,711.1709594726562
0.6083335876464844,240.86000061035156,718.4009399414062
0.616668701171875,246.9099884033203,725.5709838867188
0.625,253.01998901367188,732.6809692382812
0.6333351135253906,259.17999267578125,739.73095703125
0.6416664123535156,265.3999938964844,746.720947265625
0.6500015258789062,271.67999267578125,753.6509399414062
0.6583366394042969,278.0199890136719,760.5209350585938
0.6666679382324219,284.4100036621094,767.3309326171875
0.6750030517578125,290.8599853515625,774.0809326171875
0.6833343505859375,297.3699951171875,780.7709350585938
0.6916694641113281,303.92999267578125,787.4109497070312
0.7000007629394531,310.54998779296875,793.990966796875
0.7083358764648438,317.2200012207031,800.510986328125
0.7166671752929688,323.94000244140625,806.98095703125
0.7250022888183594,330.7200012207031,813.3909301757812
0.7333335876464844,337.54998779296875,819.7509765625
0.741668701171875,344.42999267578125,826.0509643554688
0.75,351.3699951171875,832.3009643554688
0.7583351135253906,358.3599853515625,838.5009765625
0.7666664123535156,365.3999938964844,844.6409301757812
0.7750015258789062,372.489990234375,850.73095703125
0.7833328247070312,379.6300048828125,856.7709350585938
0.7916717529296875,386.8199768066406,862.760986328125
0.8000030517578125,394.05999755859375,868.6909790039062
0.8083343505859375,401.3500061035156,874.5709838867188
0.8250045776367188,416.0699768066406,886.1809692382812
0.8333358764648438,423.5,891.9109497070312
0.8416671752929688,430.97998046875,897.5909423828125
0.8499984741210938,438.5099792480469,903.23095703125
0.85833740234375,446.0799865722656,908.8209838867188
0.866668701171875,453.6999816894531,914.3609619140625
0.875,461.3699951171875,919.8509521484375
0.883331298828125,469.0799865722656,925.3009643554688
0.8916702270507812,476.8399963378906,930.700927734375
0.9000015258789062,484.6399841308594,936.0509643554688
0.9083328247070312,492.47998046875,941.3609619140625
0.9166717529296875,500.3699951171875,946.6209716796875
0.9250030517578125,508.29998779296875,951.8409423828125
0.9333343505859375,516.2799682617188,957.0109252929688
0.9416656494140625,524.2999877929688,962.1409301757812
0.9500045776367188,532.3599853515625,967.220947265625
0.9583358764648438,540.4599609375,972.2609252929688
