time,x,y,speed,angle,angular speed
0.0,0.0,0.0,2299.99699192339,0.0,1.9772099256515503
0.008331298828125,19.09829842209891,-1.1953188392699365,2296.4091839714724,0.01649022102355957,1.9772099256515503
0.0166778564453125,38.182716503020046,-2.0769776205005597,2292.814062185771,0.032788753509521484,1.9775099754333496
0.0250091552734375,57.253301645904706,-2.6449042082443235,2289.20829677562,0.049375057220458984,1.9779099225997925
0.0333404541015625,76.30026405262139,-2.9011864209085942,2285.587828526715,0.06586527824401855,1.9785100221633911
0.0416717529296875,95.31378919273232,-2.8477925383119107,2281.9698395208165,0.0822596549987793,1.9792100191116333
0.0500030517578125,114.29186138327766,-2.4749801654640606,2278.3456537581937,0.09894180297851562,1.9799100160598755
0.0583343505859375,133.23650249029384,-1.7925215820024611,2274.717411663491,0.1154320240020752,1.9807099103927612
0.0666656494140625,152.13790416641967,-0.802414952392855,2271.079755971851,0.13182640075683594,1.9816099405288696
0.0749969482421875,170.98630031509424,0.4932879726811592,2267.4426872920158,0.14841270446777344,1.982509970664978
0.083343505859375,189.7796541279576,2.1043563813187163,2263.8064612057537,0.16499876976013184,1.9834100008010864
0.0916748046875,208.52000241336975,4.021021085420685,2260.17142395524,0.18139314651489258,1.9843099117279053
0.100006103515625,227.19752188164583,6.241280828983037,2256.528406427402,0.19797945022583008,1.9852099418640137
0.10833740234375,245.80246137854866,8.763086952860455,2252.886418205404,0.21456557909120733,1.986109972000122
0.116668701171875,264.33478226018394,11.586400297790888,2249.244613075689,0.23124772707094365,1.9870100021362305
0.125,282.78472229424654,14.709263404339787,2245.601875264899,0.24773794809450322,1.9879099130630493
0.133331298828125,301.15024338429123,18.141414030189942,2241.9679468453805,0.2643240133868616,1.9888099431991577
0.1416778564453125,319.42357399131686,21.871084822776474,2238.330748887645,0.2809103170977991,1.9897099733352661
0.1500091552734375,337.6067446119319,25.88844296028298,2234.6985821646267,0.2974963823901575,1.9906100034713745
0.1583404541015625,355.68793623948164,30.201264876534815,2231.0596526497993,0.31417853036989385,1.9914100170135498
0.1666717529296875,373.6671526095469,34.809551344416604,2227.4214789017387,0.3306687513934534,1.9922099113464355
0.1750030517578125,391.5366194941984,39.70150329111535,2223.7918671939733,0.34735089937318975,1.9930099248886108
0.1833343505859375,409.29431456045216,44.88689289965793,2220.1579782747303,0.3638411203967493,1.9938099384307861
0.1916656494140625,426.9324734990364,50.35389198546876,2216.5270387948494,0.38052302995790654,1.9946099519729614
0.1999969482421875,444.45109864468907,56.1025010316007,2212.89636231419,0.39710933366884404,1.9954099655151367
0.208343505859375,461.848156699116,62.142552280206715,2209.2725458386294,0.41379124323000127,1.996209979057312
0.2166748046875,479.1081205573739,68.45035851138272,2205.6525292842634,0.43037754694093877,1.9969099760055542
0.225006103515625,496.23875686347276,75.03774839275715,2202.032618138544,0.447059456502096,1.9976099729537964
0.23333740234375,513.2204700480903,81.90069880228961,2198.4190421733306,0.4637416044818323,1.9983099699020386
0.241668701171875,530.0650903246241,89.03143562480842,2194.80625673113,0.4803276697741907,1.9990099668502808
0.25,546.7628080576276,96.42792926543147,2191.191648587362,0.49700981775392705,1.999709963798523
0.258331298828125,563.3038571505401,104.08812797347518,2187.580827586682,0.5137878100024622,2.0004100799560547
0.2666778564453125,579.6882314202851,112.01206163358674,2183.979105020094,0.5303738752948206,2.001009941101074
0.2750091552734375,595.9061199433307,120.19766922046773,2180.3794946848366,0.5471518675433558,2.001610040664673
0.2833404541015625,611.9595682872842,128.63521452220448,2176.779204335391,0.5637379328357142,2.0022099018096924
0.2916717529296875,627.8465308845384,137.33443375071067,2173.185831937079,0.5804200808154505,2.002810001373291
0.3000030517578125,643.5612941298523,146.2737635722133,2169.591563661868,0.5971019903766077,2.0034098625183105
0.3083343505859375,659.1017913302186,155.46296699173502,2166.0007417883053,0.6138799826251429,2.004009962081909
0.3166656494140625,674.4582800906473,164.90002832631592,2162.416806185882,0.630657974873678,2.004509925842285
0.3249969482421875,689.6229564113194,174.5731111794819,2158.8375553532414,0.6472440401660364,2.005009889602661
0.333343505859375,704.6056162734428,184.4842734849931,2155.263087538906,0.6640220324145716,2.005509853363037
0.3416748046875,719.3985216295699,194.62166132788136,2151.690700769717,0.6807039419757288,2.006010055541992
0.350006103515625,733.9898092901175,204.9930575825653,2148.1197650482814,0.6973860899554651,2.006510019302368
0.35833740234375,748.3815371888456,215.58866626783697,2144.5476060757696,0.7142599264727991,2.0069098472595215
0.366668701171875,762.5737321188633,226.40850850909644,2140.9858427780177,0.7308459917651575,2.007309913635254
0.375,776.5585601957044,237.440741726793,2137.423092318467,0.7476239840136927,2.0077099800109863
0.383331298828125,790.3340232549034,248.6951742682879,2133.866110066376,0.7643058935748499,2.0081100463867188
0.3916778564453125,803.8944082065868,260.1501649966518,2130.312175301886,0.7810838858233851,2.008509874343872
0.4000091552734375,817.2376509339181,271.8155397777401,2126.7631905008743,0.7978618780719202,2.0089099407196045
0.4083404541015625,830.3658093706572,283.6815026303447,2123.2203612322937,0.8145437876330774,2.009310007095337
0.4166717529296875,843.2690545594106,295.7460043799524,2119.684589398909,0.8313217798816126,2.0096099376678467
0.4250030517578125,855.9474132932874,308.00906615196345,2116.153119713798,0.8480036894427698,2.0099098682403564
0.4333343505859375,868.3931114571157,320.4588577329803,2112.6268353161004,0.864781681691305,2.0102100372314453
0.4416656494140625,880.606178935543,333.0953853060793,2109.0975797027522,0.8815596739398401,2.010509967803955
0.4499969482421875,892.5865827523835,345.9186576305077,2105.5796075790104,0.8983374277697962,2.010809898376465
